en,ar
Quit,خروج
Exit Game,الخروج من اللعبة
Continue,متابعة
CONTINUE,متابعة
Resume,استئناف
Back,رجوع
BACK,رجوع
Cancel,إلغاء
Confirm,تأكيد
Apply,تطبيق
APPLY,تطبيق
Accept,قبول
ACCEPT,قبول
Decline,رفض
DECLINE,رفض
Close,إغلاق
New Game,لعبة جديدة
Load Game,تحميل لعبة
Save,حفظ
Settings,الإعدادات
Options,الخيارات
Restart,إعادة البدء
Default,الافتراضي
Reset,إعادة تعيين
RESET,إعادة تعيين
On,تشغيل
Off,إيقاف
ON,تشغيل
OFF,إيقاف
Yes,نعم
No,لا
Credits,الاعتمادات
Audio,الصوت
AUDIO,الصوت
OK,موافق
Language,اللغة
Change Language,تغيير اللغة
