namespace,key,en
,06C971734DE096AA3F847E850113D1E2, / {MaxPlayers}
,F12B4D1440112DA5C59C39807A269803, 40/250
,3BB335B243D7F558DA9DF8B269CC73DE, XP:
,3C5702404C385479467B708A6A113ABD,"""Behemoth"""
,4A04FDBE42F06337E331B2A7C3AF4D25,"""Behemoth, Behemoth, Behemoth"""
,CFFDFB364C620FA868901FBA5404B56D,"""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec."""
,804A21B046E27F2805A09AAF8A6BCB46,"""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>."""
,14577F0D40AE0BCAC77C079FF4BAF656,%
,9E98C95E4C7C02BAAC41ACBF9D423C09,'Element' Resistance
,2AA05D6F4F93FBD14C5578B4A9BDAEDE,(
,CAD97665444D13F1373573B986B183D3,(
,A72E8B5E4899192E6C62F1B1284D5B97,(HOLD) Continue
,6F7A05D045BED1647A6709997C509A27,(HOLD) Return to Sanctus Clypeus
,7D5585404E006E2D3A51A182FF223BE6,(HOLD) Store
,236F92874ACA53E1DBA7449D6023170C,(HOLD) Store (Full)
,230067204C78E77FA2AF9EB8503D4DE3,)
,582D1B8C4ABFD7A8415C66A5E3DC4B94,)
,59D0A4184E1ACAE2222930895A9D5A8B,+
,73BB62554D93D14C95745FBC32E65419,+
,A68E29404C0817AA57E4C9A1E1F753B1,+
,BA2D17134AF4F9E345C6D293509EF5EA,+
,BC4CBE164EAC86823A5312ADFA15D1D5,+
,CCF15D55446F03CD78F2B8A96C2C4600,+
,E6EB7399456EE86190EC518011FFFD50,+
,82863CED450BE58025D581B40F3E3908,+ NEW LOADOUT v
,E33A3F1946B54C41D911F1A9EA8E515C,+00
,D8E3FE864B91FCCAFCCC4AAFD4358506,+1 Max Health Flasks
,5B23DD52460A0AA3F484538A014A2FD8,+1 Max Lives
,6DFB1B8146DB48D34E8A859CA7EF2365,+1 Max Lives
,A82F0B3D4AE799A18E32098AE1DEA334,+1 Max Lives
,FB0FCD7C47D51AFF8D19BAB3899BBA02,+1 Max Lives
,13901007412EAB6EB7251B8C2A74C67B,+1 Max Mana Flasks
,ABBAA73B4529EF1F8A8DC095EE4ADC15,+1 Shared Lives
,4B3377B34ED7D265DC31EBAF3023394D,+10 Max Health
,5A057E874B2ED9B2E81F1CB1657908A6,+10 Max Health
