PMUI_RemapBindings|DynamicDetails_KeyboardInputAction
GameSetting|DisabledReasonLine
GameSetting|DevDynamicDetailsFormat
GameSetting|WarningReasonLine
GameSetting|PercentFormat
FIRLAdapterDLSS|NotSupportedHardewareSchedulingDisabled_Desc
FIRLAdapterFSR|FSRQualityMode_NativeAA
FIRLAdapterDLSS|DLSSQualityMode
FIRLAdapterFSR|FSRFeatureLowLatency
FIRLAdapterDLSS|StreamlineNotSupported_Desc
ST_Controls|IA_Purify
FIRLAdapterXeSS|XeSSQualityMode_UltraQualityPlus
FIRLAdapterDLSS|DLSSSupported_Desc
FIRLAdapterDLSS|UDLSSSupport_NotSupportedByPlatformAtBuildTime
ST_Controls|IA_UI_Settings_ValueIncrease
ST_Controls|IA_Grapple
ST_Controls|IA_AngelMode
ST_Controls|IA_Cancel
FIRLAdapterXeSS|XeSSFrameGenerator_RequiresRestart
ST_Controls|IA_Consumable
FIRLAdapterDLSS|DLSSFeatureLowLatency
ST_Controls|IA_Execute
FIRLAdapterDLSS|EStreamlineFeatureSupport_Supported
FIRLAdapterXeSS|XeSSFeatureFrameGeneration_ToolTip
ST_Controls|IA_InteractImbue
ST_DialogText|Dialg_DeleteSave
ST_DialogBoxStrings|QuitGameBody
ST_LoadOut|AddLoadoutName
ST_DialogBoxStrings|ChunkInstallBody
ST_DialogBoxStrings|QuitSessionBody
ST_UI_Loadout|CustomLoadoutSlotName
ST_ItemDetailLabels|Poison
ST_ItemDetailLabels|Crushing
ST_DialogBoxStrings|OptionBack
ST_LoadingScreens|LS_Heavenstithe
ST_LoadingScreens|LS_bloodfuryboon
ST_ItemDetailLabels|BackstabStaminaCost
ST_InventoryScreens|ArmoryCollection
ST_UI_GenericButtons|Redeem_Status_Success
ST_ItemDetailLabels|FireBonus
ST_ItemDetailLabels|PoiseBonus
ST_ItemDetailLabels|Cold
ST_DeathScreen|DS_SubText
ST_LoadOut|Delete
ST_BossDefeatScreens|BruteDemon
ST_ItemDetailLabels|FireResistance
ST_BossDefeatScreens|WardBoss
ST_SortingType|BlockValue
ST_InventoryScreens|QuestLogDescription
ST_BossDefeatScreens|Tyrigon
|3CFC47E94140131B6C5C0E9F7CA01484
|F517E4654455949B5490958B95BB2E99
|71DD61974DFA72BB7974AD9F72EDE340
|2B868D854CE2990513AF09B79037DF8A
|C34626894DE1F3681C274B88C2B9AC2C
|DD590A5144813AD109A58DAEF97C090A
|0E91B0E947B6F7793FDD89B72BD3E713
|174F53394D3B079105DF358152EC03C1
|39C0E8B04B2206F7B244AB98CEFD1B1F
|98BCDCA54D62182F39F6D6A3DFC0308A
|916949C84D8AD9AA41533F84E5D71DBA
|42C8A3C2423F2255006720B4375ACBF6
|5C85E3D944EEBFC6F6E970B83B8E8D8D
|0E1015FB47E77173EAF8F7A067DAFE6B
|7DC1BF3B4C75569D2EFD5C8328B5E422
|5F3A0D714284C4ED0666F495D5E1C9A8
|0839C6164C46BCBCAB3B859C9589B8E7
|B55808C54C90C2C86FC6C4B00643C933
|50CAF46343F26E187B389791148FD8A6
|2F33FE944182BE8ADCDC65B85AC3ABFA
|FFEB989A4D358DA10193EA8D662B333E
|B9BAEE0D4EF70D2D2F065A9F31E97BBD
|3B8461574DC727D882A5D59653F46A1D
|6A8EC55A4BCD6E5CF3FADDB0E47411B3
|4F802D1F41EAA8713C5F7EACC1E869E5
|F9F2D7A14C6C95BE9BBE09AECF6EC57C
|83E7AF5647F4250DF766D5A4D2862291
|3AAAC6EE4F7053139F6EEBBBD05F81A4
|636172824D7E4D614397128E7D36ABBE
|6E2432DA44EC717596548F8AA10C7953
ST_PMUI_BootUpFlow|BootUpFlow_EULA_Body
ST_AccountLinkFlow|QrCodeLabel
ST_YetiMultiplayerMessages|InvalidLobbyCode_Long
ST_PMUI_SocialManagementStrings|ButtonLabel_AcceptGameInvite
ST_PMUI_SocialManagementStrings|FriendsTab
ST_PMUI_SocialManagementStrings|LastOnline
ST_PMUI_SocialManagementStrings|ButtonLabel_Back
ST_YetiMultiplayerMessages|JoinRejectedLobbyFull_Short
ST_YetiStorageMessages|MissingNakamaToken_Short
ST_YetiEntitleMentMessages|AuthTokenMissing_Long
ST_YetiSocialMessages|InvalidFriendIdentifier_Long
ST_YetiAuthMessages|PlatformCredentialsUnavailable_Short
ST_YetiStorageMessages|UserNotFound_Short
ST_YetiActivityMessages|OnlineSubsystemUnavailable_Long
ST_YetiMultiplayerMessages|MatchmakingNetworkError_Long
ST_MissionModifierStrings|DifficultyValue6
ST_MissionModifierStrings|DifficultyValue4
ST_MissionModifierStrings|DifficultyValue5
CloudSaveCompare|LocalSaveLabel
AsyncLoadingScreen|Loading
ST_Achievements|ACH_LoreChampion_Title
ST_Achievements|ACH_GajovMakeStrong_Title
ST_Achievements|ACH_Level30_Title
ST_Achievements|ACH_Victory_BodyText
ST_Achievements|ACH_AbraxasStroneofArcana_Title
ST_Achievements|ACH_Level20_Title
ST_Achievements|ACH_Completionist_BodyText
ST_Achievements|ACH_Level20_BodyText
ST_Achievements|ACH_Level10_Title
ST_Achievements|ACH_GreatSoulReclaimer_Title
ST_Armor|SovereignSentryGauntletDesc
ST_Armor|DivineOathCuirassDesc
ST_Trinkets|HardenedFury
ST_Weapons|LumenfelDesc
ST_Armor|CovenantClericGreavesDesc
ST_Vendors|UnlockByQuest
