source_term,type,count,should_translate,approved_ar,status,notes,example
Nephilim,proper_noun,240,decide,,pending,,"A calcified cluster of Anima, often mistaken for a simple stone. This rock brims with life"
Gajov,proper_noun,125,decide,,pending,,"Black powder, scrap iron, and Gajov’s contempt for delicate work. "
Church,proper_noun,115,decide,,pending,,"A cumbersome cuirass, fit only for the toughest Nephilim, designed to stand against a drag"
Gildenarch,proper_noun,93,decide,,pending,,Quests are acquired from characters across Gildenarch. Interact with Gallant and select Qu
Gate,proper_noun,54,decide,,pending,,Enter the Gate
ProbablyMonsters,proper_noun,52,decide,,pending,,Have you played a ProbablyMonsters game before?
Strike the Core,proper_noun,51,decide,,pending,,Enter the Gate and Strike the Core
Reward State Text,proper_noun,50,decide,,pending,,Other Reward State Text
Mereda,proper_noun,49,decide,,pending,,This is the Library. Here you'll be able review found lore and unlock additional quests fr
Order,proper_noun,49,decide,,pending,,You've been recalled to the Order for your failures.
Knight,proper_noun,41,decide,,pending,,Haedrik Knight
Divine,proper_noun,39,decide,,pending,,The cherished life essence of angels who trace their lineage to the almighty Divine. The A
Faith,proper_noun,39,decide,,pending,,Aegoroth's stone is undone. The Faith has its silence. I cannot find the comfort in it.
Gallant,proper_noun,37,decide,,pending,,Quests are acquired from characters across Gildenarch. Interact with Gallant and select Qu
Spire,proper_noun,36,decide,,pending,,"The Spire blast has severely weakened your Nephilim powers.

You now have limited lives. R"
Hellgrowth,proper_noun,34,decide,,pending,,A pungent fruiting body that sprouts from the decomposing organic material that makes up t
Solomon,proper_noun,34,decide,,pending,,Defeat Solomon
Lunitarian,proper_noun,34,decide,,pending,,"Cuirass of the Lunar Sentinel

No symbol is more harrowing to the Lunitarian faith than th"
Crimson Moon,proper_noun,33,decide,,pending,,"Welcome to our Hub location. 

Please note that this space is still very early in developm"
Merchant,proper_noun,30,decide,,pending,,<Header>Merchant</>
It,proper_noun,29,decide,,pending,,The Shepherds have returned with another haul of cattle from the surface. In accordance wi
Lotte,proper_noun,29,decide,,pending,,"Cheap steel from Lotte’s stall. Light enough to hurl, sharp enough to remind a thing it ca"
Reborn,proper_noun,28,decide,,pending,,The Reborn taught Gildenarch how easily the faithful burn. This returns the lesson. 
Velchoria,proper_noun,26,decide,,pending,,"A cuirass designed for the Champions of Litinstang.

The city state of Litinstang in south"
Eden,proper_noun,24,decide,,pending,,A pungent fruiting body that sprouts from the decomposing organic material that makes up t
Lunarin,proper_noun,24,decide,,pending,,"Cuirass of the Lunar Sentinel

No symbol is more harrowing to the Lunitarian faith than th"
Lunitarian Church,proper_noun,24,decide,,pending,,Specially crafted cuirass designed for Nephilim in service to the Knights of the Crimson M
Lord of Perdition,proper_noun,22,decide,,pending,,A cuirass forged specifically to withstand the punishing blows of the Lord of Perdition. A
We,proper_noun,22,decide,,pending,,"Alright, Toby, if you’re reading this, then you’ve gotten the key I slipped ya in the meal"
Abraxas Stone,proper_noun,21,decide,,pending,,An unusual wooden shield etched in runes and imbued with an 'arcane rot' that can poison f
Nexus Gate,proper_noun,21,decide,,pending,,Each combat area is controlled by a Nexus Gate. 
Commander,proper_noun,21,decide,,pending,,Knight Commander
Belwayne,proper_noun,21,decide,,pending,, It’s said that for a thousand years a knight wearing this armor stood vigil at the tower 
Archspire Cathedral,proper_noun,20,decide,,pending,,Complete Archspire Cathedral to Unlock.
Ramshorn Keep,proper_noun,20,decide,,pending,,Complete Ramshorn Keep to Unlock.
Archspire,proper_noun,19,decide,,pending,,"A theory so bizarre it may at least hold a glimmer of truth. Allegedly, one of the Archspi"
Resistance,proper_noun,18,decide,,pending,,'Element' Resistance
Abraxas Stones,proper_noun,18,decide,,pending,,"Before you are the Abraxas Stones, that bind the souls of powerful beings known as the Dea"
War Table,proper_noun,17,decide,,pending,,Complete misisons to unlock alternative routes at the War Table
Librarian,proper_noun,16,decide,,pending,,<Header>Librarian</>
Art,proper_noun,16,decide,,pending,,Weapon Art 1
Cardinal Mathias,proper_noun,16,decide,,pending,,"Under the Inquisition Act of 760, this property has been temporarily seized by the Archspi"
Garden,proper_noun,16,decide,,pending,,"Find us beneath the roses

Join us in the Garden whose weeds reach beyond the coil’s remai"
Dry Rot King,proper_noun,16,decide,,pending,,"The Dry Rot King, his people called it before the name was the last word any of them could"
Angel Ascension,proper_noun,15,decide,,pending,,<Header>Angel Ascension</>
Blacksmith,proper_noun,15,decide,,pending,,<Header>Blacksmith</>
Heavy Attack,proper_noun,15,decide,,pending,,<Header>Heavy Attack</>
Parry,proper_noun,15,decide,,pending,,<Header>Parry and Unblockable Attacks</>
Quests,proper_noun,15,decide,,pending,,<Header>Quests</>
Crimson Oath,proper_noun,15,decide,,pending,,A ring granting the boons of the Crimson Oath
Stamina,proper_noun,15,decide,,pending,,Certain actions cost Stamina. Your Stamina is depicted by the green bar.
Elk Grove Academy,proper_noun,15,decide,,pending,,Complete Elk Grove Academy to Unlock.
Felwyl,proper_noun,15,decide,,pending,,Defeat Felwyl
Cathedral,proper_noun,15,decide,,pending,,Archsipre Cathedral
Church's,proper_noun,15,decide,,pending,,"A variant of Crimson Oath Armor, bestowed upon Nephilim who take The Oath of the Moonlight"
Crimson Concordat,proper_noun,15,decide,,pending,,Specially crafted cuirass designed for Nephilim in service to the Knights of the Crimson M
