AsyncLoadingScreen|Loading
CloudSaveCompare|CloudSaveLabel
CloudSaveCompare|CompareTitle
CloudSaveCompare|DownloadComplete
CloudSaveCompare|CompareBody
CloudSaveCompare|KeepLocal
CloudSaveCompare|LocalSaveLabel
CloudSaveCompare|NoCloudSaves
CloudSaveCompare|ConfirmOverwrite
CloudSaveCompare|OlderCloudWarning
ST_AccountLinkFlow|QrSkipHint
ST_AccountLinkFlow|QrCodeLabel
ST_AccountLinkFlow|PromptHeader
ST_AccountLinkFlow|PromptBody
ST_AccountLinkFlow|ConfirmHeader
ST_AccountLinkFlow|QrTitle
ST_AccountLinkFlow|QrInstruction
ST_AccountLinkFlow|ConfirmBody
ST_Achievements|ACH_AbraxasStroneofArcana_Title
ST_Achievements|ACH_AbraxusStoneofRot_Title
ST_Achievements|ACH_AbraxasStoneofWar_Title
ST_Achievements|ACH_FullyLoaded_BodyText
ST_Achievements|ACH_AbraxusStoneofRot_BodyText
ST_Achievements|ACH_AbraxasStoneofWar_BodyText
ST_Achievements|ACH_AbraxasStroneofArcana_BodyText
ST_Achievements|ACH_Angelic_Title
ST_Achievements|ACH_ArchspireCathedral_Title
ST_Achievements|ACH_Blessed_Title
ST_Achievements|ACH_LoreChampion_BodyText
ST_Achievements|ACH_Blessed_BodyText
ST_Achievements|ACH_LetsNexus_BodyText
ST_Achievements|ACH_ArchspireCathedral_BodyText
ST_Achievements|ACH_ElkGroveAcademy_BodyText
ST_Achievements|ACH_RamshornKeep_BodyText
ST_Achievements|ACH_ShoreditchPrison_BodyText
ST_Achievements|ACH_TheForsakenStreets_BodyText
ST_Achievements|ACH_Hellish_BodyText
ST_Achievements|ACH_NoDeaths_BodyText
ST_Achievements|ACH_Victory_BodyText
ST_Achievements|ACH_Prologue_BodyText
ST_Achievements|ACH_MeetMeredaAuburn_BodyText
ST_Achievements|ACH_Completionist_Title
ST_Achievements|ACH_FirstDeathofMany_BodyText
ST_Achievements|ACH_GreatSoulReclaimer_BodyText
ST_Achievements|ACH_ElkGroveAcademy_Title
ST_Achievements|ACH_PerfectParry_BodyText
ST_Achievements|ACH_SlayTogether_BodyText
ST_Achievements|ACH_FirstDeathOfMany_Title
ST_Achievements|ACH_FullyLoaded_Title
ST_Achievements|ACH_GajovMakeStrong_Title
ST_Achievements|ACH_RiftWalker_Title
ST_Achievements|ACH_GreatSoulReclaimer_Title
ST_Achievements|ACH_Hellish_Title
ST_Achievements|ACH_InfernalSlayer_Title
ST_Achievements|ACH_Slayer_BodyText
ST_Achievements|ACH_InfernalSlayer_BodyText
ST_Achievements|ACH_LetsNexus_Title
ST_Achievements|ACH_Level10_Title
ST_Achievements|ACH_Level20_Title
ST_Achievements|ACH_Level30_Title
ST_Achievements|ACH_Level5_Title
ST_Achievements|ACH_LoreChampion_Title
ST_Achievements|ACH_MeetMeredaAuburn_Title
ST_Achievements|ACH_Nephilim_Title
ST_Achievements|ACH_NoDeaths_Title
ST_Achievements|ACH_PerfectParry_Title
ST_Achievements|ACH_Completionist_BodyText
ST_Achievements|ACH_Level10_BodyText
ST_Achievements|ACH_Level20_BodyText
ST_Achievements|ACH_Level30_BodyText
ST_Achievements|ACH_Level5_BodyText
ST_Achievements|ACH_Prologue_Title
ST_Achievements|ACH_RamshornKeep_Title
ST_Achievements|ACH_ShoreditchPrison_Title
ST_Achievements|ACH_SlayTogether_Title
ST_Achievements|ACH_Slayer_Title
ST_Achievements|ACH_TheForsakenStreets_Title
ST_Achievements|ACH_Angelic_BodyText
ST_Achievements|ACH_Nephilim_BodyText
ST_Achievements|ACH_GajovMakeStrong_BodyText
ST_Achievements|ACH_RiftWalker_BodyText
ST_Achievements|ACH_Victory_Title
