source_term,type,should_translate,approved_ar,status,notes
Nephilim,race,decide,نيفيليم,approved,player race; transliteration proposed; Qur'anic echo issue
Angel,mechanic,translate,الملاك,approved,bonded spirit
Angelic Sigil,mechanic,translate,الختم الملائكي,approved,
Angelic Grace,mechanic,translate,النعمة الملائكية,approved,transform meter
Angel Ascension,mechanic,translate,الصعود الملائكي,approved,transformation
Angel Sense,mechanic,translate,حاسة الملاك,approved,
Lunarin,deity,transliterate,لوناران,approved,the Church's god
Lunitarian,faction,transliterate,لونيتاري,approved,root
Lunitarian Church,faction,translate,الكنيسة اللونيتارية,approved,root + Church
The Divine,deity,translate,الإله,approved,
Divine Throne,place,translate,العرش الإلهي,approved,
Holy Lineage,faction,translate,السلالة المقدّسة,approved,ruling body of Church
Archspire,place,decide,أرشسباير,approved,FR kept Archspire
Archspire Cathedral,place,decide,كاتدرائية أرشسباير,approved,
Gildenarch,place,transliterate,قيلدنارك,approved,the city
Southern Ward,place,translate,الحي الجنوبي,approved,
Grimhaven,place,transliterate,قريمهاڤن,approved,
Gilded Ward,place,translate,الحي المذهّب,approved,
Forsaken Streets,place,translate,الشوارع المهجورة,approved,
Ramshorn Keep,place,decide,حصن رامزهورن,approved,FR chateau de Ramshorn
Shoreditch Prison,place,decide,سجن شورديتش,approved,transliterate Shoreditch + translate Prison
Elk Grove Academy,place,decide,أكاديمية إلك قروڤ,approved,
Moore Manor,place,decide,قصر مور,approved,
Godsreach Spire,place,decide,برج قودزريتش,approved,FR Fleche de Godsreach
Sanctus Clypeus,place,transliterate,سانكتوس كليبيوس,approved,Latin; Order hall
Transmitorium,mechanic,decide,غرفة الترسيخ,approved,Faisal 2026-09-02
War Table,mechanic,translate,طاولة الحرب,approved,mission select
Excursion,mechanic,translate,جولة,approved,a run
Abraxas Stone,story,decide,حجر أبراكساس,approved,Abraxas transliterate; also wizard Abraxas Godsbane
Dead Gods,story,translate,الآلهة الميتة,approved,
Dry Rot King,boss,translate,ملك العفن الجاف,approved,
E'frae,boss,transliterate,إفراي,approved,Dry Rot King's name
Lord of Perdition,boss,translate,سيّد الهلاك,approved,
Mahkteah,boss,transliterate,ماكتيا,approved,
Mahkten,faction,transliterate,ماكتن,approved,his people
Eye of the Abyss,boss,translate,عين الهاوية,approved,
Aegoroth,boss,transliterate,إيقوروث,approved,
The Warden,boss,translate,الحارس,approved,
Flesh-Wrought Egregore,boss,decide,الإيقريقور المصاغ من اللحم,approved,Egregore? | Faisal 2026-09-02
Tyrigon,boss,transliterate,تيريقون,approved,dragon
Valahk-Nor,boss,transliterate,ڤالاك-نور,approved,normalize hyphen; General
