namespace,key,en,fr,es,it,de
,06C971734DE096AA3F847E850113D1E2, / {MaxPlayers},/ {MaxPlayers},/ {MaxPlayers},/ {MaxPlayers},/ {MaxPlayers}
,F12B4D1440112DA5C59C39807A269803, 40/250, 40/250, 40/250, 40/250, 40/250
,3BB335B243D7F558DA9DF8B269CC73DE, XP:,EXP :,XP:,PE:,EP:
,3C5702404C385479467B708A6A113ABD,"""Behemoth""","""Behemoth""","""Behemoth""","""Behemoth""","""Behemoth"""
,4A04FDBE42F06337E331B2A7C3AF4D25,"""Behemoth, Behemoth, Behemoth""","« Mastodonte,
Mastodonte,
Mastodonte »","""Behemoth,
Behemoth,
Behemoth""","""Behemoth,
Behemoth,
Behemoth""","„Gigant,
Gigant,
Gigant“"
,CFFDFB364C620FA868901FBA5404B56D,"""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec.""","""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec.""","""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec.""","""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec.""","""Lorem <Emphasize>ipsum dolor sit amet, consectetur</> adipiscing elit. Integer gravida <Emphasize>nisi quis mauris tincidunt ullamcorper</>. Fusce tristique posuere ligula, nec."""
,804A21B046E27F2805A09AAF8A6BCB46,"""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>.""","""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>.""","""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>.""","""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>.""","""Lorem ipsum dolor sit amet, consectetur <Emphasize>adipiscing elit. Cras turpis</> massa, porta quis porta pulvinar, egestas id eros.<Emphasize> Lorem ipsum</>."""
,14577F0D40AE0BCAC77C079FF4BAF656,%,%,%,%,%
,9E98C95E4C7C02BAAC41ACBF9D423C09,'Element' Resistance,Résistance « élémentaire »,Resistencia “Elemental”,Resistenza elementale,„Element“-Resistenz
,2AA05D6F4F93FBD14C5578B4A9BDAEDE,(,(,(,(,(
,CAD97665444D13F1373573B986B183D3,(,(,(,(,(
,A72E8B5E4899192E6C62F1B1284D5B97,(HOLD) Continue,Continuer (MAINTENIR),(MANTENER) Continuar,(TIENI PREMUTO) Continua,(HALTEN) Weiter
,6F7A05D045BED1647A6709997C509A27,(HOLD) Return to Sanctus Clypeus,Retourner au Sanctus Clypeus (MAINTENIR),(MANTENER) Regresar al Sacro Clypeus,(TIENI PREMUTO) Torna al Sanctus Clypeus,Zurück zum Sanctus Clypeus (HALTEN)
,7D5585404E006E2D3A51A182FF223BE6,(HOLD) Store,Mettre en réserve (MAINTENIR),(MANTENER) Almacenar,(TIENI PREMUTO) Riponi,Lagern (Halten)
,236F92874ACA53E1DBA7449D6023170C,(HOLD) Store (Full),Mettre en réserve (MAINTENIR) (plein),(MANTENER) Almacenar (lleno),(PREMI) Riponi (pieno),Lagern (Halten) - Voll
,230067204C78E77FA2AF9EB8503D4DE3,),),),),)
,582D1B8C4ABFD7A8415C66A5E3DC4B94,),),),),)
,59D0A4184E1ACAE2222930895A9D5A8B,+,+,+,+,+
,73BB62554D93D14C95745FBC32E65419,+,+,+,+,+
,A68E29404C0817AA57E4C9A1E1F753B1,+,+,+,+,+
,BA2D17134AF4F9E345C6D293509EF5EA,+,+,+,+,+
